cluster_order
Alveolar Mph MT-positive
Alveolar Mph CCL3+
Alveolar macrophages
Alveolar Mph proliferating
DC2
DC1
Migratory DCs
Classical monocytes
Non-classical monocytes
Monocyte-derived Mph
Interstitial Mph perivascular
Hematopoietic stem cells
Mast cells
T cells proliferating
NK cells
CD4 T cells
CD8 T cells
Plasma cells
B cells
Plasmacytoid DCs
Lymphatic EC mature
Lymphatic EC proliferating
Mesothelium
Adventitial fibroblasts
Subpleural fibroblasts
Peribronchial fibroblasts
Alveolar fibroblasts
Myofibroblasts
SM activated stress response
Pericytes
Smooth muscle
Smooth muscle FAM83D+
EC venous systemic
EC arterial
EC venous pulmonary
Lymphatic EC differentiating
EC aerocyte capillary
EC general capillary
Suprabasal
Hillock-like
Basal resting
Tuft
SMG mucous
SMG serous (nasal)
SMG serous (bronchial)
AT2
AT2 proliferating
AT0
pre-TB secretory
Club (nasal)
Goblet (nasal)
Goblet (bronchial)
Goblet (subsegmental)
Club (non-nasal)
SMG duct
AT1
Ionocyte
Neuroendocrine
Deuterosomal
Multiciliated (nasal)
Multiciliated (non-nasal)
