cluster_order
Alveolar macrophage
Classical DC subset 2
Classical DC subset 1
Mature DC subset
Neutrophil
Inflammatory monocyte
Patrolling monocyte
Interstitial macrophage
Megakaryocyte/Platelet
Mast/Basophil
Natural killer cell
CD4+ T cell
T regulatory cell
Innate lymphoid cell
CD8+ T cell
Plasma cell
B cell
Plasmacytoid DC
Lymphatic endothelial cell
Mesothelial cell
Alveolar fibroblast 2
Alveolar fibroblast 1
Chondrocyte
Secondary crest myofibroblast
Pericyte
Vascular smooth muscle cell
Airway smooth muscle cell
Systemic venous endothelial cell
Arterial endothelial cell
Venous endothelial cell
Capillary 2 cell
Capillary 1 cell
Myoepithelial cell
Suprabasal cell
Basal cell
Tuft cell
Mucous cell
Serous cell
Alveolar type 2 cell
Respiratory airway secretory cell
Secretory cell
Goblet cell
SMG Basal/Duct cell
Alveolar type 1 cell
Ionocyte
Pulmonary neuroendocrine cell
Deuterosomal cell
Ciliated cell
